categoryId,channelId,channelTitle,commentCount,dislikeCount,likeCount,publishAt,subs,tags,title,viewCount
20,UCg_j7kndWLFZEg4yCqUWPCA,packattack04082,2426,8952,60830,2019-07-31T22:30:00Z,4410000,"['mario', 'mario odyssey', 'super mario odyssey', 'full game walkthrough', 'ending credits', 'final boss', 'all bosses']",Super Mario Odyssey - Full Game Walkthrough,21198599
20,UCg_j7kndWLFZEg4yCqUWPCA,packattack04082,77,177,1916,2020-07-09T14:00:10Z,4410000,"['Mario', 'Mario Bros', 'Dark Bowser', 'Bowsette', 'Bowsette Boss', 'Mario vs Dark Bowser', 'mario game', 'mario bros', 'super mario bros', 'Super Mario', 'All bosses', 'Final Boss', 'New Super Mario Bros', 'final boss and ending', 'saving peach', 'mario wants to rescue peach', 'Bowsette boss', 'Dark Bowser boss', 'packattack', 'mario gameplay', 'packattack04082', 'mario animation']",Dark Bowser &amp; Bowsette Bosses in New Super Mario Bros Wii HD,798468
20,UCsW-fY6JyFyLjVJaEXtFmtQ,NinToon,22,38,382,2021-03-09T17:00:50Z,148000,0,*New* Super Mario Party &quot;Fire Flower Pack&quot; - All Characters!,59782
20,UCZGlT2ue5xg4me4Tr5gmgjQ,Cottrello Games,2,0,10,2021-03-16T19:00:22Z,864,"['New Super Mario Bros U Deluxe', 'New Super Mario Bros U Deluxe Superstar Road', 'Channels like game grumps', 'New Super Mario Bros U Deluxe Multiplayer', 'superstar road', 'spine-tingling spine coaster', 'run for it', 'swim for your life', 'hammerswing caverns', 'spinning platforms of doom', 'fire bar cliffs', 'lakitu', 'lakitu! lakitu! lakitu!', 'pendulum castle', 'follow that shell', 'penguin suit', 'propeller suit', 'mario', 'super mario', 'lets play', 'commentary', 'funny', 'nintendo switch', 'cottrello games']",Superstar Road! - New Super Mario Bros U Deluxe Multiplayer #10,121
20,UC-2wnBgTMRwgwkAkHq4V2rg,ProsafiaGaming,538,1455,9813,2019-01-12T15:10:54Z,3390000,"['New Super Mario Bros U Deluxe', 'New Super Mario Bros U', 'Newer Super Mario Bros Wii', 'Nintendo', 'Switch', '3DS', 'Wii', 'Wii U', 'Mario', 'Luigi', 'Peach', 'complete walkthrough', 'all star coins', 'all secret exits', 'world 8', 'castle', 'tower', 'final', 'finale', 'all', 'bosses', 'star coins', 'battles', 'fights', 'battle', 'boss', 'secret', 'ending', 'boss battles', 'boss fights', 'playthrough', 'lets play', 'speedrun', 'soudntrack', 'ost', 'theme', 'complete', '100%', 'walkthrough', 'Koopalings', 'Bowser Jr', '100% walkthrough', 'all bosses']",New Super Mario Bros U Deluxe - All Final Castles (4 Player),3013254
28,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,359,130,2540,2020-11-13T12:00:04Z,3010000,"['CNET', 'Technology', 'Tech', 'Review', 'mobile phone', 'unboxing', 'first look', 'nintendo', 'game boy', 'game & watch', 'super Mario bros.', 'mario', 'luigi', 'bowser', 'watch', 'gaming', 'handheld', 'retro', 'nostalgia', 'retro gaming', 'Princess peach', 'NES', '80s', 'Old school', 'Super mario bros. 2']",Game &amp; Watch Super Mario Bros. is a crazy &#39;80s gaming time machine,154623
20,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo,52115,11538,314422,2020-09-03T13:00:12Z,7710000,"['nintendo', 'play', 'play nintendo', 'game', 'gameplay', 'fun', 'video game', 'kids', 'action', 'adventure', 'rpg', 'Super Mario', 'Super Mario 35th Anniversary', 'nintendo direct', 'Super mario direct', 'nintendo switch.', 'mario kart', 'super mario galaxy', 'super mario 64', 'super mario sunshine', 'super mario allstars', 'super mario 3d allstars']",Super Mario Bros. 35th Anniversary Direct,9512915
20,UCXlS4EkyvX51u5I7fcSeebw,Laupok,1065,263,23430,2019-12-04T12:30:01Z,532000,"['glitch', 'hack', 'speedrun', 'bug', 'bugs', 'bog', 'corruption', 'ram', 'fps', 'retro', 'epoque', 'noel', 'vie', 'vieux', 'wii u', 'nsmb']",10 BUGS sur New Super Mario Bros. Wii,501012
20,UCW8z7Zl7nHno40mYGa9lh5g,KokiriGaming,489,1120,10666,2020-01-02T15:00:00Z,817000,"['new super mario bros wii', 'all bosses', '4 players', 'mario', 'new super mario bros', 'super mario']",New Super Mario Bros. Wii - All Bosses (4 Players),2648514
24,UCVWAxVrBYA9Dsy-fE17zz2g,CrazyMarioBros,1441,139,5903,2021-02-21T00:24:10Z,325000,"['cmb', 'crazy', 'mario', 'bros', 'crazy mario bros', 'crazymariobros', 'mario plush videos', 'mario bros', 'nintendo', 'super mario', 'super mario bros', 'plush', 'movie', 'plush movie', 'sml movie', 'sml', 'snow', 'day', 'the snow day', 'cmb snow', 'cmb snow day', 'bowser jr snow day', 'bowser jr snow day 2', 'luigi', 'bowser', 'bowser jr', 'bowser junior', 'jr', 'junior', 'cmb bowser jr', 'cmb jr', 'cmb luigi', ""mario and luigi's snow day"", 'mario snow', 'luigi snow', 'crazy mario bros bowser jr snow day 2', 'junior snow day', 'snow day', 'snowday', 'hd', 'the snow']",Crazy Mario Bros: The Snow Day!,194620
20,UCfBkzAvx7_fEiJ2rfChydYQ,Sirloin,70,749,4099,2020-12-02T13:00:15Z,715000,"['Dark', 'Bowser', 'Dark Bowser', 'Super', 'Mario', '3D World', 'Super Mario 3D World', 'Dark Bowser in Super Mario 3D World', 'World', 'Mario 3D World', 'Bowser Mario', 'Hacks', 'Bowser Mario 3D World', 'Boss', 'all bosses', '100%', 'playthrough', 'super mario 3d world', 'new super mario bros', 'wii u', 'switch']",Super Mario 3D World - 3 Player Co-Op - World 1 + World 2 4K60FPS,1872736
22,UCHQ5HCmL77sF52QJ-M6i4-Q,Invenctor,3255,6174,62683,2018-01-27T19:37:38Z,1880000,"['como fazer', 'super Mario Bros', 'super', 'mario', 'bros', 'super mario', 'caseiro', 'como fazer um jogo do super mario', 'ferramentas', 'jogo do super mario feito em casa', 'diy super mario', 'brinquedos']",COMO FAZER UM JOGO DO SUPER MARIO BROS EM CASA,6849642
24,UCLMkzNA5ubtN149mG4NIR0g,Brincando Com a Tia Fla,434,29162,59744,2017-05-19T17:00:03Z,5200000,"['Wrong Hat Mario Bros Luigi Toad Princess Peach Finger Family Song Nursery Rhymes', 'mario bros', 'luigi', 'toad', 'princess peach', 'Finger Family Song Nursery Rhymes', 'kids', 'toys', 'tia fla', 'tia fla kids', 'português', 'brincadeira de criança', 'infantil', 'youtubekids', 'brincando com a tia fla', 'encontre a personagem']","Encontre a Personagem Mario Bros, Luigi, Toad, Princess Peach",25564747
